complaint_id,category,priority,location,text_length,word_count,avg_word_length,unique_words_ratio,uppercase_ratio,digit_count,special_char_count,hour,day_of_week,day_of_month,month,quarter,is_weekend,location_complaint_count,is_top_location,location_density,polarity,subjectivity,sentiment_intensity,tfidf_0,tfidf_1,tfidf_2,tfidf_3,tfidf_4,tfidf_5,tfidf_6,tfidf_7,tfidf_8,tfidf_9,tfidf_10,tfidf_11,tfidf_12,tfidf_13,tfidf_14,tfidf_15,tfidf_16,tfidf_17,tfidf_18,tfidf_19,tfidf_20,tfidf_21,tfidf_22,tfidf_23,tfidf_24,tfidf_25,tfidf_26,tfidf_27,tfidf_28,tfidf_29,tfidf_30,tfidf_31,tfidf_32,tfidf_33,tfidf_34,tfidf_35,tfidf_36,tfidf_37,tfidf_38,tfidf_39,tfidf_40,tfidf_41,tfidf_42,tfidf_43,tfidf_44,tfidf_45,tfidf_46,tfidf_47,tfidf_48,tfidf_49,tfidf_50,tfidf_51,tfidf_52,tfidf_53,tfidf_54,tfidf_55,tfidf_56,tfidf_57,tfidf_58,tfidf_59,tfidf_60,tfidf_61,tfidf_62,tfidf_63,tfidf_64,tfidf_65,tfidf_66,tfidf_67,tfidf_68,tfidf_69,tfidf_70,tfidf_71,tfidf_72,tfidf_73,tfidf_74,tfidf_75,tfidf_76,tfidf_77,tfidf_78,tfidf_79,tfidf_80,tfidf_81,tfidf_82,tfidf_83,tfidf_84,tfidf_85,tfidf_86,tfidf_87,tfidf_88,tfidf_89,tfidf_90,tfidf_91,tfidf_92,tfidf_93,tfidf_94,tfidf_95,tfidf_96,tfidf_97,tfidf_98,tfidf_99,department_Police,department_Public Works,department_Utilities,sentiment_neutral,sentiment_positive
GR000001,Street Light,Medium,North District,0.7843137254901961,0.875,0.3245033112582782,1.0,0.0,0,0,1.0,0.0,0.4,0.18181818181818182,0.0,0.0,0.5,1,0.5000000000000004,0.6848214285714286,0.5287698412698413,0.14136904761904764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6609768538089008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9171102248699766,0.0,0.0,0.6189599098073733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6609768538089008,0.35133384529544975,0.0,0.9171102248699766,0.0,0.0,0.0,0.0,0.0,0.0,0.9171102248699766,0.0,0.9171102248699766,0.6189599098073734,0.0,0.0,0.0,0.0,0.6609768538089008,0.0,0.0,0.0,0.6609768538089008,0.0,0.0,0.42767699588164954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2816402760500985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,True,False
GR000002,Street Light,Medium,Downtown,0.35294117647058826,0.5,0.25360342812621733,0.4705882352941175,0.0,0,0,0.2608695652173913,0.6666666666666666,0.5333333333333333,0.09090909090909091,0.0,0.0,0.8541666666666666,1,0.8541666666666671,0.6416666666666666,0.5555555555555556,0.06944444444444448,0.0,0.0,0.0,0.0,0.4636050373240782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.700209437527547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.700209437527547,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.700209437527547,0.0,0.42788955825152836,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6860194935308496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False
GR000003,Water Supply,Medium,Commercial Area,0.6274509803921569,0.5,0.5590183093104794,0.7352941176470588,0.0,0,0,0.34782608695652173,1.0,0.9333333333333333,0.8181818181818182,1.0,1.0,0.6875,1,0.6875000000000006,0.7071428571428571,0.23809523809523808,0.17857142857142858,0.0,0.0,0.0,0.0,0.4264189718540231,0.0,0.0,0.0,0.0,0.0,0.9178181637741687,0.0,0.0,0.7404339500961944,0.0,0.0,0.6729518826564449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7404339500961944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7404339500961944,0.0,0.0,0.0,0.7404339500961944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5424108110945871,0.0,0.0,0.0,0.0,0.0,0.0,0.9178181637741686,0.0,0.0,0.0,0.0,False,True,False,False,True
GR000004,Electricity,High,East Zone,0.37254901960784315,0.25,0.5779249448123621,0.7000000000000001,0.0,0,0,0.5217391304347826,0.6666666666666666,0.5333333333333333,0.09090909090909091,0.0,0.0,1.0,1,1.0,0.6,0.888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6969696703808159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7258646274472539,0.9368532947010433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9677095950943826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6969696703808159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7137456414479153,False,True,False,True,False
GR000005,Electricity,High,North District,0.7647058823529411,0.5,0.7117257499026101,1.0,0.0,0,0,0.08695652173913043,0.5,0.4,0.5454545454545454,0.6666666666666666,0.0,0.5,1,0.5000000000000004,0.7666666666666666,0.37037037037037035,0.2777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8384940149132111,0.0,0.0,0.0,0.0,0.0,0.8766917957616326,0.0,0.0,0.0,0.0,0.0,0.0,0.7971313228720677,0.0,0.0,0.0,0.0,0.5059097923443858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8766917957616326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6483239465138607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7971313228720677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8384940149132111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36271215997129336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,False,True
GR000006,Noise Pollution,Medium,Downtown,0.29411764705882354,0.25,0.4790286975717441,1.0,0.0,0,0,0.30434782608695654,0.16666666666666666,0.13333333333333333,1.0,1.0,0.0,0.8541666666666666,1,0.8541666666666671,0.7,0.888888888888889,0.16666666666666669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7770512416476905,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,True,False
GR000007,Street Light,Medium,Industrial Zone,0.7647058823529411,0.75,0.4269780411293133,1.0,0.0,0,0,0.4782608695652174,0.8333333333333334,0.8,0.18181818181818182,0.0,1.0,0.5,1,0.5000000000000004,0.65625,0.5208333333333334,0.09375,0.0,0.0,0.0,0.0,0.0,0.660286903964118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9387896436258625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4004908340495795,0.5030780839583129,0.0,0.0,0.0,0.3596389686587353,0.0,0.9387896436258626,0.0,0.0,0.0,0.0,0.4656900958413805,0.5136796351714435,0.9387896436258625,0.0,0.9387896436258625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4377867825076706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2882979245174668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6127091448612407,True,False,False,True,False
GR000008,Street Light,Low,Downtown,0.6470588235294118,0.75,0.3098640641338445,0.05263157894736842,0.0,0,0,0.6086956521739131,0.8333333333333334,0.8,0.18181818181818182,0.0,1.0,0.8541666666666666,1,0.8541666666666671,0.6416666666666666,0.39814814814814814,0.06944444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.8950704755967835,0.0,0.8950704755967835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6187788644173849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.546410603795082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33390494236609086,0.0,0.8716143943406417,0.47844009410128874,0.0,0.7709473011514214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6187788644173849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8030061555560815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,True,False
GR000009,Community Safety,High,West Zone,0.17647058823529413,0.125,0.4966887417218544,1.0,0.0,0,0,0.43478260869565216,0.16666666666666666,0.5333333333333333,0.0,0.0,0.0,0.5208333333333334,1,0.520833333333334,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9400530741409485,0.0,0.0,0.0,0.0,0.9491040991300047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9400530741409485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9491040991300047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9786867787026002,False,False,True,True,False
GR000010,Traffic Light,Medium,Suburb Area,0.4117647058823529,0.25,0.627373068432671,1.0,0.0,0,0,0.6086956521739131,1.0,0.8333333333333334,0.9090909090909091,1.0,1.0,0.4791666666666667,1,0.4791666666666668,0.85,0.6111111111111112,0.4166666666666667,0.0,0.0,0.0,0.0,0.3757509826001755,0.6367216357620307,0.0,0.0,0.0,0.9410440839740853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9410440839740853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38619754145177737,0.0,0.0,0.0,0.0,0.34680365615823816,0.0,0.0,0.0,0.0,0.0,0.0,0.4490698782637284,0.49534669792841857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9410440839740853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6033037458141542,0.0,0.0,0.9410440839740853,0.3905740910476904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True
